Issuer/Borrower Name;"Nation
Region
Description";Matched Region
PT Indomobil Prima Energi;"Asia-Pacific (ex Central Asia)
Southeast Asia";Asia
PR II Genesis 80 RRS LP;"Americas
North America";North America
Forrester Research Inc;"Americas
North America";North America
hGears AG;"Europe
Western Europe";Western Europe
Inversiones CMPC SA;"Americas
South America";Latin America
Keolis SA;"Europe
Western Europe";Western Europe
Anhui Gaoyue Re Co Ltd;"Asia-Pacific (ex Central Asia)
North Asia";Asia
L'Occitane International SA;"Europe
Western Europe";Western Europe
Marimo Co Ltd;Japan;Asia
Martin Marietta Materials Inc;"Americas
North America";North America
Toprank Co Ltd;Japan;Asia
Obol France 3 SAS;"Europe
Western Europe";Western Europe
SDL II Finance 2 LP;"Americas
North America";North America
Mitsubishi Pencil Co Ltd;Japan;Asia
National Bank of Oman SAOG;"Africa/Middle East/Central Asia
Middle East";Africa
Niigata Machine Techno Co Ltd;Japan;Asia
S&S Healthcare Strategies Ltd;"Americas
North America";North America
Merrill Tool & Machine;"Americas
North America";North America
CompoSecure LLC;"Americas
North America";North America
Ichigo Inc;Japan;Asia
Yuexiu Reit Secure Shell Ltd;"Americas
Caribbean";Latin America
Mclarens Acquisition Inc;"Americas
North America";North America
Riverbend Oil & Gas IX Invest;"Americas
North America";North America
Brickworks Finance Pty Ltd;"Asia-Pacific (ex Central Asia)
Australasia";Australia
RimRock Oil & Gas LP;"Americas
North America";North America
Mitsui E&S Holdings Co Ltd;Japan;Asia
PT Jasamarga Solo Ngawi;"Asia-Pacific (ex Central Asia)
Southeast Asia";Asia
Virtual Hold Technology LLC;"Americas
North America";North America
Backyard Products LLC;"Americas
North America";North America
Cicf Ii Unsecured Pool LLC;"Americas
North America";North America
Ali Group Srl;"Europe
Western Europe";Western Europe
Coml Foodsvc Repair Inc;"Americas
North America";North America
Lei Shing Hong Credit Ltd;"Asia-Pacific (ex Central Asia)
North Asia";Asia
Doha Bank QSC;"Africa/Middle East/Central Asia
Middle East";Africa
WideOpenWest Finance LLC;"Americas
North America";North America
CIRCOR International Inc;"Americas
North America";North America
Tosca Services LLC;"Americas
North America";North America
Cwgs Grp Llc;"Americas
North America";North America
Albertson's LLC;"Americas
North America";North America
Rocky Mtn Equip Lp;"Americas
North America";North America
Mills Fleet Farm Group LLC;"Americas
North America";North America
Infusion Plastics Inds Inc;"Asia-Pacific (ex Central Asia)
North Asia";Asia
Kam Hing Piece Works Ltd;"Asia-Pacific (ex Central Asia)
North Asia";Asia
Yazaki Corp;Japan;Asia
Toyo Sec Co.Ltd.;Japan;Asia
Ontario Gaming GTA LP;"Americas
North America";North America
Bain & Co Inc;"Americas
North America";North America
Barnes & Noble Inc;"Americas
North America";North America
Cpi Holdco B LLC;"Americas
North America";North America
Eliassen Group LLC;"Americas
North America";North America
Verra Mobility Corp;"Americas
North America";North America
Hines Global Reit Ii Ppty Lp;"Americas
North America";North America
Hanna Holdings Inc;"Americas
North America";North America
CA Immobilien Anlagen AG;"Europe
Western Europe";Western Europe
Best Line Leasing Inc;"Americas
North America";North America
Crestwood Midstream Partners;"Americas
North America";North America
Delticom AG;"Europe
Western Europe";Western Europe
Enel SpA;"Europe
Western Europe";Western Europe
Alba Europe Hldg Plc & Co. Kg;"Europe
Western Europe";Western Europe
Shock Trauma Air Rescue Svc;"Americas
North America";North America
Primaloft Merger Sub Inc;"Americas
North America";North America
Office Ally Inc;"Americas
North America";North America
SP Lyndhurst Finance Pty Ltd;"Asia-Pacific (ex Central Asia)
Australasia";Australia
Ping An Dianchuang Intl Fin;"Asia-Pacific (ex Central Asia)
North Asia";Asia
Rain Bird Corp;"Americas
North America";North America
BOP Greenpoint F LLC;"Americas
North America";North America
Orange Staniel Llc;"Americas
North America";North America
Alterra-Finer (Corktown) Ltd;"Americas
North America";North America
Export-Import Bank of India;"Asia-Pacific (ex Central Asia)
South Asia";Asia
Shanghai Chengchao Constr;"Asia-Pacific (ex Central Asia)
North Asia";Asia
Far E Intl Fin Leasing Co Ltd;"Asia-Pacific (ex Central Asia)
North Asia";Asia
Iwatani Corp;Japan;Asia
Commercial Cleaning System LLC;"Americas
North America";North America
Procurement Advisors LLC;"Americas
North America";North America
NCP Coatings LLC;"Americas
North America";North America
Agrupa Lettuce SL;"Europe
Western Europe";Western Europe
Times 4502 Inc;"Americas
North America";North America
ECIT AS;"Europe
Western Europe";Western Europe
Monroe Engineering Products;"Americas
North America";North America
Onit Inc;"Americas
North America";North America
Bahana Pembinaan Usaha;"Asia-Pacific (ex Central Asia)
Southeast Asia";Asia
National Auto Care Corp;"Americas
North America";North America
Parkdale Mills Inc;"Americas
North America";North America
Pilipinas Shell Petroleum Corp;"Asia-Pacific (ex Central Asia)
Southeast Asia";Asia
Precinct Properties NZ Ltd;"Asia-Pacific (ex Central Asia)
Australasia";Australia
Salesianer Miettex Gmbh;"Europe
Western Europe";Western Europe
SEMCO Energy Inc;"Americas
North America";North America
Integrity Marketing Group LLC;"Americas
North America";North America
Cantina Hospitality LLC;"Americas
North America";North America
Solairepro Urja Private Ltd;"Asia-Pacific (ex Central Asia)
South Asia";Asia
Element Technical Services Inc;"Americas
North America";North America
Tencarva Machinery Co;"Americas
North America";North America
Victoria Gold Corp;"Americas
North America";North America
West Texas Gas Inc;"Americas
North America";North America
Autovia Necaxa Tihuatlan SA de;"Americas
Central America";Latin America
Corus Orthodontists Inc;"Americas
North America";North America
Abdullah Saad Mohammed Abo;"Africa/Middle East/Central Asia
Middle East";Africa
Suzhou Renhe Zhixin Re Dvlp;"Asia-Pacific (ex Central Asia)
North Asia";Asia
Government Of Sharjah;"Africa/Middle East/Central Asia
Middle East";Africa
Arrowhead Holdco Co;"Americas
North America";North America
Honda Motor Co Ltd;Japan;Asia
Daiei Co Ltd;Japan;Asia
Imuraya Group Co Ltd;Japan;Asia
Stahlwerk Thueringen GmbH;"Europe
Western Europe";Western Europe
Mike Albert Leasing Co;"Americas
North America";North America
Chailease International Corp;"Asia-Pacific (ex Central Asia)
North Asia";Asia
China Aviation Intl Hldg Co;"Asia-Pacific (ex Central Asia)
North Asia";Asia
Fairfax Properties I LLC;"Americas
North America";North America
United Site Services Inc;"Americas
North America";North America
Lscs Holdings  Inc;"Americas
North America";North America
Medasts Software Intermediate;"Americas
North America";North America
Treasury Wine Estates Ltd;"Asia-Pacific (ex Central Asia)
Australasia";Australia
AIT Worldwide Logistics Inc;"Americas
North America";North America
Ajinomoto Co Inc;Japan;Asia
First Brands Group LLC;"Americas
North America";North America
Meritage Homes Corp;"Americas
North America";North America
Moody's Corp;"Americas
North America";North America
NextEra Energy Capital Hldg;"Americas
North America";North America
Builders FirstSource Inc;"Americas
North America";North America
Cleveland-Cliffs Inc;"Americas
North America";North America
Blue Owl Capital Inc;"Americas
North America";North America
Dentsu Group Inc;Japan;Asia
Metropolitan Expressway Co Ltd;Japan;Asia
Yokogawa Electric Corp;Japan;Asia
Alliant Energy Corp;"Americas
North America";North America
Alliander NV;"Europe
Western Europe";Western Europe
Allied Energy Corp;"Americas
North America";North America
Asbury Automotive Group Inc;"Americas
North America";North America
Bertel O. Steen Bil AS;"Europe
Western Europe";Western Europe
JINUSHI Private REIT Inc;Japan;Asia
CECO Environmental Corp;"Americas
North America";North America
Cogeco Inc;"Americas
North America";North America
Cogeco Communications Inc;"Americas
North America";North America
nsa op;"Americas
North America";North America
SKI Carbon Black (Mauritius);"Africa/Middle East/Central Asia
Sub-Saharan Africa";Africa
Clare Solar Farm Fin Pty Ltd;"Asia-Pacific (ex Central Asia)
Australasia";Australia
Stone Ridge Asset Management;"Americas
North America";North America
Analysis Grp;"Americas
North America";North America
Park River Holdings Inc;"Americas
North America";North America
GL Parent LLC;"Americas
North America";North America
The Cooper Cos Inc;"Americas
North America";North America
Electricite De France SA;"Europe
Western Europe";Western Europe
Oxbow Carbon LLC;"Americas
North America";North America
Opdenergy Spain Solar Plants;"Europe
Western Europe";Western Europe
Chongqing Tianzow Animal;"Asia-Pacific (ex Central Asia)
North Asia";Asia
Societe Du Parc Eolien De La;"Europe
Western Europe";Western Europe
Helsingin Lyyra Ky;"Europe
Western Europe";Western Europe
Viking Ocean Cruises Ship X;"Americas
Caribbean";Latin America
Viking Ocean Cruises Ship Xii;"Americas
Caribbean";Latin America
Viking Ocean Cruises Ship IX;"Americas
Caribbean";Latin America
Viking Ocean Cruises Ship XI;"Americas
Caribbean";Latin America
Sonate Bidco;"Europe
Western Europe";Western Europe
Allergy Partners PA;"Americas
North America";North America
Block 5A Owner LLC;"Americas
North America";North America
Hillside Childrens Ctr;"Americas
North America";North America
Continental 599 Fund LLC;"Americas
North America";North America
NP Liberty Cc Building IV LLC;"Americas
North America";North America
Continental Ag Acqs Llc;"Americas
North America";North America
Cottingham St Dvlp Owner Lp;"Americas
North America";North America
Concord Terminals Debtco LLC;"Americas
North America";North America
Arm Resource Partners LLC;"Americas
North America";North America
ZimVie Inc;"Americas
North America";North America
Flatiron Crane Operating Co;"Americas
North America";North America
Medproperties Covington LLC;"Americas
North America";North America
LBA LVF VII-Company XIX LLC;"Americas
North America";North America
PeakSun Rooftops PV Project;"Europe
Western Europe";Western Europe
Elawan Wind 14 Sp Zoo;"Eastern Europe
Europe";Central and Eastern Europe
Bass Solar Holdings 1 LLC;"Americas
North America";North America
Kazusa Awa Clean System Corp;Japan;Asia
Fairfax India Holdings Corp;"Americas
North America";North America
Forum Servicios Financieros SA;"Americas
South America";Latin America
Grand Hotel Management Pty Ltd;"Asia-Pacific (ex Central Asia)
Australasia";Australia
Aars AS;"Europe
Western Europe";Western Europe
Gestamp Automocion SA;"Europe
Western Europe";Western Europe
Paramt Grp Operating;"Americas
North America";North America
Valley Hldg Inc;"Americas
North America";North America
Kunshan Xiangchun Re Dvlp Co;"Asia-Pacific (ex Central Asia)
North Asia";Asia
Kele Holdco Inc;"Americas
North America";North America
Pride Group Enterprises;"Americas
North America";North America
Pacific Landscape Management;"Americas
North America";North America
Natures Emporium LP;"Americas
North America";North America
Gunvor International BV;"Europe
Western Europe";Western Europe
JJ Taylor Cos Inc;"Americas
North America";North America
Impellam Group PLC;"Europe
Western Europe";Western Europe
Kloeckner & Co SE;"Europe
Western Europe";Western Europe
Interfor Corp;"Americas
North America";North America
Reece Intl Pty Ltd;"Asia-Pacific (ex Central Asia)
Australasia";Australia
OWL Buyer;"Americas
North America";North America
Island Fresh Ltd;"Africa/Middle East/Central Asia
Sub-Saharan Africa";Africa
RXR 85 Jay Street LLC;"Americas
North America";North America
Liberty Utilities LLC;"Americas
North America";North America
Meherrin Agri & Chem Co;"Americas
North America";North America
Tvs Industrial & Logistics;"Asia-Pacific (ex Central Asia)
South Asia";Asia
Interior Logic Grp Hldg LLC;"Americas
North America";North America
San Paolo Wind Park;"Europe
Western Europe";Western Europe
New Mexico Gas Co;"Americas
North America";North America
Nuveen Floating Rate Income;"Americas
North America";North America
OGE Energy Corp;"Americas
North America";North America
OEConnection LLC;"Americas
North America";North America
Oklahoma Gas & Electric Co;"Americas
North America";North America
Pittsburgh Associates;"Americas
North America";North America
Pon Holdings BV;"Europe
Western Europe";Western Europe
EC Group Holdings LLC;"Americas
North America";North America
Affinity Hospice LLC;"Americas
North America";North America
G&I Ix 200 Public Square LLC;"Americas
North America";North America
Service Payment Plan Inc;"Americas
North America";North America
TECO Energy Inc;"Americas
North America";North America
Tampa Electric Co;"Americas
North America";North America
M10 Inc;"Americas
North America";North America
Republic of Turkey;"Europe
Eastern Europe";Central and Eastern Europe
Yieh Phui (China);"Asia-Pacific (ex Central Asia)
North Asia";Asia
Astec-irie Co Ltd;Japan;Asia
Calefactio Investments AB;"Europe
Western Europe";Western Europe
T2 Strategic Re Income Fund;"Americas
North America";North America
1147 Jackson Llc;"Americas
North America";North America
Engie SA;"Europe
Western Europe";Western Europe
Tom Group Ltd;"Asia-Pacific (ex Central Asia)
North Asia";Asia
Artis Expl Ltd;"Americas
North America";North America
Shan-Chih Asset Dvlp Co Ltd;"Asia-Pacific (ex Central Asia)
North Asia";Asia
APi Group Corp;"Americas
North America";North America
Crescent Finance Co Pty Ltd;"Asia-Pacific (ex Central Asia)
Australasia";Australia
South32 Ltd;"Asia-Pacific (ex Central Asia)
Australasia";Australia
Paragon Films Inc;"Americas
North America";North America
Petrobras Global Trading Bv;"Americas
Central America";Latin America
Pentair plc;"Europe
Western Europe";Western Europe
Central Garden & Pet Co;"Americas
North America";North America
Dasin Ret Tr Mgmt Pte Ltd;"Asia-Pacific (ex Central Asia)
Southeast Asia";Asia
Advanced Web Technologies Inc;"Americas
North America";North America
AMG Resources Corp;"Americas
North America";North America
GLP J-REIT;Japan;Asia
TA2000 LLC;"Americas
North America";North America
Grupo Farmaceutico Somar SAPI;"Americas
Central America";Latin America
Bunge Finance Europe;"Europe
Western Europe";Western Europe
Brookfield Premier Re;"Americas
North America";North America
Lidl Sverige Ab;"Europe
Western Europe";Western Europe
Fengate Infrastructure Yield;"Americas
North America";North America
Cupertino Electric Inc;"Americas
North America";North America
Gigaclear Plc;"Europe
Western Europe";Western Europe
Semi Finance Co II Pty Ltd;"Asia-Pacific (ex Central Asia)
Australasia";Australia
Optomi LLC;"Americas
North America";North America
PHRG Intermediate LLC;"Americas
North America";North America
River City Equip Rental &;"Americas
North America";North America
GD Thayer LLC;"Americas
North America";North America
Black Bear Alabama Solar Hldg;"Americas
North America";North America
New Market Solar Holdco LLC;"Americas
North America";North America
PHS Shorewood LLC;"Americas
North America";North America
Fortive Corp;"Americas
North America";North America
Africa Finance Corp;"Africa/Middle East/Central Asia
Sub-Saharan Africa";Africa
Dussmann Stiftung & Co AG KGaA;"Europe
Western Europe";Western Europe
Neinor Homes SA;"Europe
Western Europe";Western Europe
Groupe Swims;"Europe
Western Europe";Western Europe
